주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,현재 주차 차량수,현재 주차 차량수 업데이트시간,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 요금,버스 추가 단위 시간(분 단위),일 최대 요금,주차장 위치 좌표 위도,주차장 위치 좌표 경도,공유 주차장 관리업체명,공유 주차장 여부,공유 주차장 관리업체 링크,공유 주차장 기타사항
172970,방화역(서) 공영주차장(시),강서구 방화동 829-1,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),69,39,2025.1.21 11:11,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.57757395,126.8121746,,N,,
172971,방화역(동) 공영주차장(시),강서구 방화동 830-4,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),67,1484,2025.1.21 11:11,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.57730116,126.8133148,,N,,
172979,개화산역 공영주차장(시),강서구 방화동 845-0,NW,노외 주차장,1,시간제 주차장,02-2290-6064,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),321,320,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.57224302,126.8051898,,N,,
173005,가양3동 공영주차장(시),강서구 가양동 1488-12,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),56,558,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,140000,,200,5,200,5,0,0,0,0,14400,37.56033753,126.8597755,,N,,
173047,영보빌딩 공영주차장(시),강서구 가양동 1480-10,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),79,78,2025.1.21 11:11,Y,유료,N,야간 미개방,0800,2100,0800,2100,0800,2100,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.56332959,126.8530818,,N,,
173424,일원역 공영주차장(시),강남구 일원동 716-2,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),67,83,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,70000,,170,5,170,5,0,0,0,0,12200,37.48468629,127.0840899,,N,,
173452,사당노외 공영주차장(시),서초구 방배동 507-1,NW,노외 주차장,1,시간제 주차장,02-3405-4078,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),183,116,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,182000,,400,5,400,5,0,0,0,0,28800,37.47543791,126.9837737,,N,,
173553,수서역북 공영주차장(시),강남구 수서동 735-0,NW,노외 주차장,1,시간제 주차장,02-3405-4076,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),561,523,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,168000,,320,5,320,5,0,0,0,0,23000,37.48801285,127.09995,,N,,
173646,신천유수지 공영주차장(시),송파구 신천동 14-0,NW,노외 주차장,1,시간제 주차장,02-414-6417,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),192,170,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.52231457,127.1029033,,N,,
173752,복정역 공영주차장(시),송파구 장지동 600-2,NW,노외 주차장,1,시간제 주차장,02-3405-4075,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),362,285,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.47005293,127.1277329,,N,,
173828,남산한옥마을 공영주차장(시),중구 필동2가 83-1,NW,노외 주차장,5,시간제 + 버스전용 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),16,2,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,2000,0900,2000,0900,2000,N,무료,N,무료,,,430,5,430,5,860,5,,,30900,37.56005799,126.9931608,,N,,
173831,도봉산 공영주차장(시),도봉구 도봉동 282-26,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),142,89,2025.1.21 11:11,Y,유료,N,야간 미개방,0800,2200,0800,2200,0800,2200,N,무료,N,무료,126000,,170,5,170,5,0,0,0,0,12200,37.6876442,127.0406603,,N,,
173840,볕우물 공영주차장(시),강동구 암사동 473-3,NW,노외 주차장,1,시간제 주차장,02-2290-6410,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),96,61,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,90000,,130,5,130,5,0,0,0,0,9300,37.55237413,127.1351228,,N,,
173867,천호역 공영주차장(시),강동구 천호동 455-0,NW,노외 주차장,1,시간제 주차장,02-2290-6201,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1431,1376,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.53849749,127.1251285,베스텔라랩,Y,com.vestellalab.watchmilepublic,
881056,목동노외 공영주차장(시),양천구 목동 905-32,NW,노외 주차장,1,시간제 주차장,02-2664-1386,0,미연계중,48,0,,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,70000,,150,5,150,5,0,0,0,0,9000,37.53344049,126.8766097,,N,,
1037932,구로디지털단지역 공영주차장(시),구로구 구로동 810-3,NW,노외 주차장,1,시간제 주차장,02-2290-6034,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),91,45,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.48543179,126.9012433,,N,,
1051043,구파발역 공영주차장(시),은평구 진관동 66-30,NW,노외 주차장,1,시간제 주차장,02-2290-6088,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),399,437,2025.1.21 11:11,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.63800702,126.9193218,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48806796,126.9313923,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48794759,126.9307471,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48758782,126.9315441,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48968198,126.9256947,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48756582,126.9315934,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48717617,126.9324736,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48875039,126.9298996,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48851031,126.9304427,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48908779,126.9291688,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48839206,126.9306914,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48877237,126.9298501,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48895446,126.9294606,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48767029,126.9313598,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48962361,126.9260862,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48748023,126.9327456,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48773442,126.9312163,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48802277,126.9314901,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48809036,126.9313431,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48736847,126.9329987,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48848513,126.9304936,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48897708,126.9294097,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48695963,126.9329544,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48893304,126.92951,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48968909,126.9256334,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48891161,126.9295578,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48745265,126.9318469,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48775652,126.9311671,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.4890235,126.9293079,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48900089,126.9293588,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.4873458,126.9330511,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48843885,126.9305924,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48858099,126.9293242,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48879434,126.9298008,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48739059,126.9329492,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48792604,126.9307967,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48741271,126.9328983,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48750347,126.9326947,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48953571,126.9265709,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48881637,126.9297514,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48745665,126.9327965,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48685341,126.9331906,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48958799,126.9263046,,N,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,34,2025.1.21 11:11,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1.16201E+12,220,5,220,5,0,0,0,0,,37.48704645,126.9327587,,N,,
